Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
39.973,0,-5,165.9799
39.987,0,-2,165.7444
39.985,0,0,166.0063
39.983,0,2,165.87
39.99,0,5,165.8077
39.995,0,10,166.0522
39.983,0,15,166.0771
39.978,0,20,165.9162
40.006,0,25,165.7035
39.993,0,30,165.7049
39.987,0,35,165.9763
39.998,0,40,165.9233
39.987,0,45,165.6633
39.986,0,50,165.7511
39.989,0,55,165.5396
39.995,0,60,165.7798
39.991,0,65,166.1597
39.995,0,70,165.96
39.998,0,75,165.8714
40,0,77,165.6819
39.99,0,79,165.6236
40.002,0,81,165.9683
39.993,0,83,165.6075
39.995,0,85,165.7309
39.995,0,86,165.8593
40.003,0,87,166.0929
39.986,0,88,165.8813
39.98,0,89,165.4957
39.991,0,90,165.8577
39.98,0,91,166.0092
39.99,0,92,166.0605
39.988,0,93,165.7631
39.985,0,94,165.9447
39.985,0,95,165.8965
39.993,0,97,165.8672
39.995,0,99,166.0162
39.983,0,101,165.8772
39.993,0,103,165.7993
39.988,0,105,165.7483
39.986,0,110,165.7346
39.988,0,115,165.9283
40.008,0,120,165.8104
39.999,0,125,165.7842
39.998,0,130,165.9045
39.998,0,135,165.6972
39.981,0,140,165.6222
40.011,0,145,165.7083
39.993,0,150,165.746
39.988,0,155,166.0469
40.013,0,160,165.9266
39.988,0,165,166.056
39.999,0,170,165.8422
39.99,0,175,165.7958
39.989,0,178,165.7947
40.009,0,180,165.8165
39.981,0,182,165.7453
39.999,0,185,165.6998
39.989,0,190,165.8744
39.991,0,195,166.0014
39.989,0,200,165.506
39.999,0,205,165.8979
39.98,0,210,165.6902
39.981,0,215,165.7952
39.981,0,220,165.7432
39.994,0,225,165.842
39.995,0,230,165.9193
39.998,0,235,165.5944
39.993,0,240,165.8521
39.978,0.05,-5,165.2044
39.987,0.05,-2,165.1084
40.002,0.05,0,165.4423
39.981,0.05,2,165.2758
39.984,0.05,5,165.544
39.989,0.05,10,165.3908
39.995,0.05,15,165.5602
40.003,0.05,20,165.5234
39.993,0.05,25,165.5712
39.995,0.05,30,165.8178
39.996,0.05,35,165.6147
39.982,0.05,40,165.6866
39.983,0.05,45,165.8272
39.989,0.05,50,165.9669
39.986,0.05,55,165.7369
40.002,0.05,60,165.9268
39.984,0.05,65,165.7064
39.987,0.05,70,165.7046
39.978,0.05,75,166.0245
39.979,0.05,77,166.0596
39.988,0.05,79,165.7893
39.988,0.05,81,165.912
39.983,0.05,83,165.8334
39.985,0.05,85,165.8859
39.992,0.05,86,165.8665
39.993,0.05,87,165.8281
39.987,0.05,88,165.9272
39.998,0.05,89,165.8662
40,0.05,90,165.6678
39.988,0.05,91,165.8068
39.986,0.05,92,165.6869
39.996,0.05,93,165.7049
39.985,0.05,94,165.5549
39.988,0.05,95,165.7203
39.986,0.05,97,165.8068
39.989,0.05,99,165.5749
40.001,0.05,101,165.5401
39.983,0.05,103,165.5403
39.987,0.05,105,165.5561
40.003,0.05,110,165.4034
39.98,0.05,115,165.2677
40.005,0.05,120,164.99
39.997,0.05,125,165.0012
39.987,0.05,130,164.9508
39.983,0.05,135,164.8271
39.98,0.05,140,164.6912
39.989,0.05,145,164.6107
39.971,0.05,150,164.4484
39.981,0.05,155,164.6289
39.994,0.05,160,164.4785
39.974,0.05,165,164.6273
39.986,0.05,170,164.3909
39.992,0.05,175,164.7344
39.983,0.05,178,164.5494
39.996,0.05,180,164.2479
39.99,0.05,182,164.5675
39.987,0.05,185,164.6943
40,0.05,190,164.4989
39.98,0.05,195,164.6306
39.977,0.05,200,164.6325
39.984,0.05,205,164.6247
39.997,0.05,210,164.7395
39.988,0.05,215,164.6713
39.998,0.05,220,164.8437
39.993,0.05,225,164.9285
39.986,0.05,230,165.0586
39.993,0.05,235,165.0477
39.981,0.05,240,165.2268
39.985,0.1,-5,163.7845
39.999,0.1,-2,163.5895
39.997,0.1,0,163.8268
39.985,0.1,2,163.8889
39.983,0.1,5,164.0787
39.99,0.1,10,164.1805
39.988,0.1,15,164.4596
