Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
70.022,0.1,195,47.7139
70.018,0.1,200,47.8021
70.016,0.1,205,47.7877
70.011,0.1,210,47.7537
70.009,0.1,215,47.7545
69.999,0.1,220,47.6889
69.99,0.1,225,47.6204
69.986,0.1,230,47.5268
69.987,0.1,235,47.4046
69.991,0.1,240,47.4133
69.984,0.2,-5,42.1825
69.983,0.2,-2,42.2149
69.985,0.2,0,42.2511
69.98,0.2,2,42.215
69.984,0.2,5,42.2691
69.98,0.2,10,42.2858
69.987,0.2,15,42.2709
69.986,0.2,20,42.2206
69.98,0.2,25,42.1424
69.985,0.2,30,42.0369
69.98,0.2,35,41.8061
69.982,0.2,40,41.5891
69.985,0.2,45,41.4284
69.986,0.2,50,41.1786
69.986,0.2,55,40.8532
69.987,0.2,60,40.5663
69.99,0.2,65,40.3077
69.986,0.2,70,40.0924
69.988,0.2,75,40.1462
69.988,0.2,77,40.099
69.987,0.2,79,40.131
69.987,0.2,81,40.1124
69.988,0.2,83,40.1643
69.985,0.2,85,40.1172
69.989,0.2,86,40.1206
69.987,0.2,87,40.1293
69.988,0.2,88,40.2221
69.985,0.2,89,40.2086
69.987,0.2,90,40.2573
69.982,0.2,91,40.2624
69.985,0.2,92,40.269
69.986,0.2,93,40.335
69.986,0.2,94,40.3668
69.987,0.2,95,40.3904
69.986,0.2,97,40.4537
69.986,0.2,99,40.4219
69.988,0.2,101,40.5843
69.99,0.2,103,40.6392
69.988,0.2,105,40.7543
69.977,0.2,110,40.9089
69.979,0.2,115,40.9597
69.982,0.2,120,41.0422
69.982,0.2,125,41.0328
69.979,0.2,130,41.3091
69.986,0.2,135,41.4158
69.988,0.2,140,41.333
70,0.2,145,41.3955
69.993,0.2,150,41.4077
69.983,0.2,155,41.4763
69.977,0.2,160,41.4894
69.995,0.2,165,41.5137
69.999,0.2,170,41.5703
70.013,0.2,175,41.5723
70.017,0.2,178,41.5864
70.007,0.2,180,41.6803
70.017,0.2,182,41.7095
70.019,0.2,185,41.7612
70.02,0.2,190,41.783
70.022,0.2,195,41.8221
70.014,0.2,200,41.8762
70.01,0.2,205,41.8194
69.998,0.2,210,41.5946
69.994,0.2,215,41.5684
69.99,0.2,220,41.3702
69.992,0.2,225,41.133
69.986,0.2,230,40.8177
69.99,0.2,235,40.5963
69.996,0.2,240,40.3375
69.989,0.3,-5,37.4457
69.992,0.3,-2,37.4738
69.984,0.3,0,37.4914
69.987,0.3,2,37.4772
69.984,0.3,5,37.442
69.989,0.3,10,37.5116
69.989,0.3,15,37.3769
69.986,0.3,20,37.3826
69.984,0.3,25,37.2456
69.981,0.3,30,37.0399
69.978,0.3,35,36.8364
69.981,0.3,40,36.5582
69.981,0.3,45,36.2887
69.985,0.3,50,35.9065
69.991,0.3,55,35.4886
69.98,0.3,60,35.0331
70.006,0.3,65,34.6971
70.007,0.3,70,34.2749
69.983,0.3,75,34.0625
69.997,0.3,77,34.0347
69.991,0.3,79,34.1827
69.99,0.3,81,34.1746
69.993,0.3,83,34.3053
69.999,0.3,85,34.3115
69.994,0.3,86,34.3478
69.99,0.3,87,34.4472
69.993,0.3,88,34.4018
69.984,0.3,89,34.5173
69.986,0.3,90,34.576
69.978,0.3,91,34.6288
69.991,0.3,92,34.5553
69.987,0.3,93,34.7775
69.991,0.3,94,34.8648
69.979,0.3,95,34.8307
69.978,0.3,97,34.9626
69.985,0.3,99,35.134
69.982,0.3,101,35.3295
69.986,0.3,103,35.3432
69.985,0.3,105,35.4453
69.989,0.3,110,35.7251
69.972,0.3,115,36.2356
70,0.3,120,36.3245
69.992,0.3,125,36.4823
69.99,0.3,130,36.6712
69.983,0.3,135,36.7576
69.993,0.3,140,36.888
70.002,0.3,145,36.9948
69.995,0.3,150,37.0353
69.98,0.3,155,37.1112
70.003,0.3,160,37.0893
69.999,0.3,165,37.038
69.975,0.3,170,37.1587
70.006,0.3,175,37.1866
70.003,0.3,178,37.1363
70,0.3,180,37.1786
70.005,0.3,182,37.2353
69.998,0.3,185,37.2989
70.023,0.3,190,37.2572
70.019,0.3,195,37.2455
70.025,0.3,200,37.3605
70.007,0.3,205,37.1934
70.006,0.3,210,37.0605
70.014,0.3,215,36.8773
69.995,0.3,220,36.7409
70.005,0.3,225,36.4333
69.981,0.3,230,36.0432
69.989,0.3,235,35.5473
69.979,0.3,240,35.1229
69.99,0.5,-5,31.1064
69.995,0.5,-2,31.0777
69.995,0.5,0,31.1657
69.991,0.5,2,31.1703
69.99,0.5,5,31.1235
69.995,0.5,10,31.1287
69.993,0.5,15,31.0795
69.992,0.5,20,31.0675
69.991,0.5,25,30.9434
69.992,0.5,30,30.8725
69.987,0.5,35,30.7097
69.994,0.5,40,30.4553
69.99,0.5,45,30.0982
69.991,0.5,50,29.7071
69.998,0.5,55,29.0989
69.992,0.5,60,28.4865
69.994,0.5,65,27.7881
69.993,0.5,70,27.0933
69.991,0.5,75,26.6735
69.998,0.5,77,26.4531
69.995,0.5,79,26.4666
69.995,0.5,81,26.5236
69.997,0.5,83,26.6431
69.995,0.5,85,26.9532
69.996,0.5,86,26.9286
69.997,0.5,87,27.0756
69.999,0.5,88,27.0855
69.997,0.5,89,27.0505
69.999,0.5,90,27.2513
69.995,0.5,91,27.2622
69.995,0.5,92,27.2884
69.996,0.5,93,27.2735
69.999,0.5,94,27.5
69.991,0.5,95,27.5987
69.997,0.5,97,27.7685
69.999,0.5,99,27.9549
70.001,0.5,101,28.2289
70,0.5,103,28.4734
70,0.5,105,28.7683
69.995,0.5,110,29.3608
69.99,0.5,115,29.7419
69.99,0.5,120,30.2254
69.991,0.5,125,30.4661
69.984,0.5,130,30.6417
69.989,0.5,135,30.7647
69.986,0.5,140,30.8723
69.986,0.5,145,30.8888
69.991,0.5,150,30.9716
69.997,0.5,155,31.0045
69.996,0.5,160,30.9853
69.997,0.5,165,30.9602
69.99,0.5,170,30.9483
69.992,0.5,175,30.9598
69.997,0.5,178,30.9764
69.993,0.5,180,31.0539
69.988,0.5,182,30.9996
69.999,0.5,185,31.0449
69.998,0.5,190,31.1172
69.999,0.5,195,31.1277
69.987,0.5,200,31.0784
70.001,0.5,205,31.0972
69.988,0.5,210,30.9506
69.992,0.5,215,30.8052
69.988,0.5,220,30.5876
69.992,0.5,225,30.3566
69.996,0.5,230,29.9093
69.992,0.5,235,29.4458
70.001,0.5,240,28.7594
69.991,1,-5,21.6834
69.994,1,-2,21.7373
69.999,1,0,21.7115
69.995,1,2,21.7435
69.995,1,5,21.7437
69.997,1,10,21.7787
69.998,1,15,21.8452
69.999,1,20,21.8652
69.998,1,25,21.9624
69.996,1,30,22.0074
69.992,1,35,22.0029
69.997,1,40,21.9518
69.992,1,45,21.8424
69.997,1,50,21.6294
69.994,1,55,21.2178
69.999,1,60,20.6504
69.995,1,65,19.8416
69.995,1,70,18.887
69.998,1,75,17.9604
70.002,1,77,17.7219
69.996,1,79,17.604
69.997,1,81,17.7215
