Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
60.002,0,-5,85.1646
59.998,0,-2,85.2895
59.997,0,0,85.2291
60,0,2,85.3478
59.998,0,5,85.247
59.996,0,10,85.2342
59.995,0,15,85.228
59.993,0,20,85.201
59.995,0,25,85.2312
59.996,0,30,85.3082
59.994,0,35,85.2891
59.999,0,40,85.2742
60,0,45,85.3387
59.998,0,50,85.3506
59.994,0,55,85.2902
60.002,0,60,85.2534
59.998,0,65,85.2296
59.999,0,70,85.3119
59.997,0,75,85.2512
60.001,0,77,85.3092
59.998,0,79,85.3563
59.997,0,81,85.2829
59.995,0,83,85.2232
59.995,0,85,85.2564
59.995,0,86,85.2284
59.996,0,87,85.3013
59.995,0,88,85.2498
59.993,0,89,85.3652
59.995,0,90,85.2402
59.995,0,91,85.27
59.997,0,92,85.3171
59.994,0,93,85.2779
59.997,0,94,85.2543
59.995,0,95,85.2902
59.991,0,97,85.3378
59.992,0,99,85.2842
59.989,0,101,85.3084
60.002,0,103,85.3631
60.001,0,105,85.2446
59.997,0,110,85.272
59.994,0,115,85.3942
59.999,0,120,85.3561
59.982,0,125,85.3164
59.985,0,130,85.4823
59.986,0,135,85.4357
59.989,0,140,85.4848
59.991,0,145,85.4062
59.993,0,150,85.3907
60.001,0,155,85.3038
60.006,0,160,85.378
60.008,0,165,85.3507
60.012,0,170,85.2743
60.017,0,175,85.282
60.013,0,178,85.3906
60.024,0,180,85.3256
60.015,0,182,85.3714
60.004,0,185,85.3052
60.005,0,190,85.3362
60.007,0,195,85.2357
60.005,0,200,85.2237
60.002,0,205,85.2623
60,0,210,85.2375
60.003,0,215,85.2071
60.005,0,220,85.2882
59.994,0,225,85.2502
59.996,0,230,85.3022
59.998,0,235,85.2976
59.995,0,240,85.2039
59.995,0.05,-5,84.3737
59.994,0.05,-2,84.4153
59.995,0.05,0,84.5607
59.998,0.05,2,84.6148
59.996,0.05,5,84.6462
59.999,0.05,10,84.53
59.992,0.05,15,84.6776
59.998,0.05,20,84.7606
59.996,0.05,25,84.8217
59.997,0.05,30,84.7611
59.999,0.05,35,84.8609
59.998,0.05,40,84.8006
59.998,0.05,45,84.8118
59.996,0.05,50,84.7778
59.999,0.05,55,84.7518
59.999,0.05,60,84.8004
59.997,0.05,65,84.717
59.999,0.05,70,84.6722
59.998,0.05,75,84.7186
59.997,0.05,77,84.6821
59.992,0.05,79,84.7005
59.991,0.05,81,84.6876
59.995,0.05,83,84.7322
59.992,0.05,85,84.6265
60,0.05,86,84.6606
59.994,0.05,87,84.6549
59.999,0.05,88,84.6129
59.995,0.05,89,84.5512
59.998,0.05,90,84.5917
59.997,0.05,91,84.7206
59.996,0.05,92,84.6629
60,0.05,93,84.5559
59.998,0.05,94,84.5665
59.999,0.05,95,84.6001
59.992,0.05,97,84.506
59.997,0.05,99,84.5299
59.996,0.05,101,84.4479
59.998,0.05,103,84.376
60,0.05,105,84.3395
59.998,0.05,110,84.1481
60.001,0.05,115,84.0424
59.993,0.05,120,84.0163
59.983,0.05,125,84.0075
59.989,0.05,130,83.8699
59.99,0.05,135,83.8723
60.003,0.05,140,83.8036
59.984,0.05,145,83.8311
59.996,0.05,150,83.7877
59.991,0.05,155,83.794
60.004,0.05,160,83.7989
59.991,0.05,165,83.7182
60.007,0.05,170,83.742
60.004,0.05,175,83.6099
59.989,0.05,178,83.6713
60.011,0.05,180,83.6311
60.016,0.05,182,83.6681
59.997,0.05,185,83.6809
60.001,0.05,190,83.7162
60.005,0.05,195,83.7509
60.005,0.05,200,83.7748
59.992,0.05,205,83.826
59.999,0.05,210,83.8852
60.002,0.05,215,83.9224
59.997,0.05,220,83.9367
59.99,0.05,225,83.8798
59.993,0.05,230,83.8958
59.999,0.05,235,83.9472
59.992,0.05,240,83.9802
60.001,0.1,-5,82.4109
59.998,0.1,-2,82.4478
59.998,0.1,0,82.5063
59.997,0.1,2,82.6127
59.993,0.1,5,82.6342
59.996,0.1,10,82.8826
59.992,0.1,15,82.8802
59.997,0.1,20,82.9575
59.996,0.1,25,83.1286
59.995,0.1,30,82.9365
59.999,0.1,35,83.1396
59.997,0.1,40,83.2583
60.006,0.1,45,83.1653
59.998,0.1,50,83.1633
60,0.1,55,83.1724
60.003,0.1,60,83.0821
59.997,0.1,65,82.92
59.999,0.1,70,82.8749
59.996,0.1,75,82.6808
59.999,0.1,77,82.7552
59.995,0.1,79,82.7276
60,0.1,81,82.7327
59.996,0.1,83,82.5663
59.999,0.1,85,82.6488
59.999,0.1,86,82.6121
59.999,0.1,87,82.6514
59.995,0.1,88,82.601
60.004,0.1,89,82.6736
59.998,0.1,90,82.5646
59.997,0.1,91,82.5378
60.002,0.1,92,82.574
60.003,0.1,93,82.5539
59.998,0.1,94,82.4777
60.001,0.1,95,82.4445
59.993,0.1,97,82.515
59.988,0.1,99,82.3934
59.997,0.1,101,82.273
59.993,0.1,103,82.2503
59.995,0.1,105,82.2157
60.006,0.1,110,81.8149
59.998,0.1,115,81.651
59.995,0.1,120,81.3682
60.01,0.1,125,81.4912
60.009,0.1,130,81.4773
59.997,0.1,135,81.4917
60.002,0.1,140,81.2663
59.992,0.1,145,81.1861
59.993,0.1,150,81.2595
59.983,0.1,155,81.1589
59.997,0.1,160,81.0674
60.004,0.1,165,81.1124
59.999,0.1,170,81.103
59.991,0.1,175,81.2698
59.999,0.1,178,81.1778
59.988,0.1,180,81.3069
59.995,0.1,182,81.4137
59.998,0.1,185,81.2533
59.995,0.1,190,81.3873
59.994,0.1,195,81.4145
60.002,0.1,200,81.5442
