Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
74.988,0,-5,35.2732
74.99,0,-2,35.2741
74.985,0,0,35.2646
74.99,0,2,35.2938
74.987,0,5,35.2911
74.985,0,10,35.2569
74.989,0,15,35.2766
74.987,0,20,35.3046
74.986,0,25,35.3292
74.986,0,30,35.295
74.984,0,35,35.2973
74.987,0,40,35.3264
74.987,0,45,35.2829
74.99,0,50,35.2791
74.986,0,55,35.2703
74.988,0,60,35.2782
74.991,0,65,35.3042
74.987,0,70,35.3244
74.987,0,75,35.2599
74.986,0,77,35.3103
74.989,0,79,35.3156
74.986,0,81,35.2969
74.987,0,83,35.2633
74.987,0,85,35.2933
74.994,0,86,35.2894
74.992,0,87,35.3081
74.992,0,88,35.291
74.992,0,89,35.2958
74.992,0,90,35.2833
74.994,0,91,35.2956
74.995,0,92,35.2958
74.99,0,93,35.2786
74.993,0,94,35.3326
74.993,0,95,35.3302
74.988,0,97,35.3018
74.991,0,99,35.3211
74.993,0,101,35.3033
74.989,0,103,35.3369
74.987,0,105,35.3216
74.987,0,110,35.3319
74.991,0,115,35.3046
74.992,0,120,35.3416
74.985,0,125,35.3877
74.982,0,130,35.2922
74.987,0,135,35.3203
74.986,0,140,35.2801
74.99,0,145,35.2757
74.995,0,150,35.2755
74.991,0,155,35.3597
74.988,0,160,35.3229
74.989,0,165,35.3414
74.999,0,170,35.2844
74.996,0,175,35.2901
74.992,0,178,35.3481
74.991,0,180,35.3899
74.989,0,182,35.2994
74.984,0,185,35.3146
74.98,0,190,35.3027
74.993,0,195,35.3709
74.986,0,200,35.3545
74.99,0,205,35.3545
74.987,0,210,35.3358
74.988,0,215,35.3
74.987,0,220,35.3344
74.979,0,225,35.3885
74.985,0,230,35.2971
74.991,0,235,35.2979
74.994,0,240,35.3708
74.989,0.01,-5,35.2443
74.988,0.01,-2,35.2639
74.991,0.01,0,35.258
74.988,0.01,2,35.2925
74.986,0.01,5,35.2618
74.987,0.01,10,35.2388
74.986,0.01,15,35.2769
74.985,0.01,20,35.2851
