Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
29.982,0,-5,218.4768
29.986,0,-2,218.3077
29.991,0,0,218.388
29.986,0,2,218.5253
29.984,0,5,218.6618
29.989,0,10,218.5052
29.981,0,15,218.3817
29.976,0,20,218.8197
29.983,0,25,218.6864
29.981,0,30,218.7696
29.985,0,35,218.5842
29.985,0,40,218.5245
29.983,0,45,218.7243
29.984,0,50,218.6663
29.981,0,55,218.6903
29.987,0,60,218.5058
29.981,0,65,218.6703
29.98,0,70,218.6206
29.982,0,75,218.6341
29.984,0,77,218.615
29.986,0,79,218.6309
29.981,0,81,218.5371
29.985,0,83,218.5104
29.989,0,85,218.4472
29.976,0,86,218.6089
29.975,0,87,218.6265
29.987,0,88,218.8011
29.99,0,89,218.7373
29.981,0,90,218.5303
29.982,0,91,218.701
29.983,0,92,218.5571
29.983,0,93,218.5618
29.978,0,94,218.615
29.986,0,95,218.7385
29.983,0,97,218.611
29.985,0,99,218.495
29.99,0,101,218.6479
29.98,0,103,218.529
29.979,0,105,218.5901
29.984,0,110,218.8132
29.983,0,115,218.6951
29.986,0,120,218.5412
29.988,0,125,218.8868
29.981,0,130,218.6071
29.992,0,135,218.6892
29.989,0,140,218.6465
29.983,0,145,218.412
29.982,0,150,218.7538
29.974,0,155,218.6945
29.977,0,160,218.7107
29.982,0,165,218.6942
29.976,0,170,218.7294
29.977,0,175,218.7779
29.991,0,178,218.6352
29.98,0,180,218.5963
29.982,0,182,218.4305
29.984,0,185,218.5138
29.983,0,190,218.6725
29.98,0,195,218.679
29.983,0,200,218.7079
29.982,0,205,218.8715
29.986,0,210,218.5423
29.98,0,215,218.602
29.983,0,220,218.5435
29.983,0,225,218.5867
29.979,0,230,218.6072
29.989,0,235,218.7025
29.98,0,240,218.7155
29.983,0.05,-5,218.0472
29.98,0.05,-2,217.8046
29.982,0.05,0,217.9892
29.979,0.05,2,217.7922
29.993,0.05,5,218.1807
29.985,0.05,10,218.381
29.981,0.05,15,218.0753
29.984,0.05,20,218.2891
29.978,0.05,25,218.3363
29.991,0.05,30,218.3648
29.989,0.05,35,218.4052
29.983,0.05,40,218.5306
29.985,0.05,45,218.6307
29.978,0.05,50,218.5623
29.983,0.05,55,218.6354
29.984,0.05,60,218.3584
29.978,0.05,65,218.6365
29.994,0.05,70,218.382
29.973,0.05,75,218.563
29.981,0.05,77,218.5619
29.982,0.05,79,218.5185
29.985,0.05,81,218.4575
29.982,0.05,83,218.461
29.992,0.05,85,218.4378
29.983,0.05,86,218.5052
29.983,0.05,87,218.5354
29.984,0.05,88,218.5645
29.994,0.05,89,218.35
29.984,0.05,90,218.4449
29.99,0.05,91,218.3557
29.985,0.05,92,218.5061
29.988,0.05,93,218.2723
29.983,0.05,94,218.4949
29.994,0.05,95,218.5356
29.986,0.05,97,218.2521
29.989,0.05,99,218.3336
29.986,0.05,101,218.0159
29.978,0.05,103,218.3067
29.983,0.05,105,218.299
29.991,0.05,110,218.1111
29.992,0.05,115,217.8193
29.988,0.05,120,217.5821
29.999,0.05,125,217.6129
29.986,0.05,130,217.2613
29.983,0.05,135,217.5142
29.985,0.05,140,217.1807
29.97,0.05,145,217.4652
29.995,0.05,150,217.3095
29.982,0.05,155,217.2297
29.98,0.05,160,217.3673
29.983,0.05,165,217.3664
29.995,0.05,170,217.1959
29.989,0.05,175,217.2185
29.974,0.05,178,217.1826
29.984,0.05,180,217.2073
29.986,0.05,182,217.3951
29.99,0.05,185,217.4118
29.985,0.05,190,217.3786
29.984,0.05,195,217.4912
29.977,0.05,200,217.8699
29.98,0.05,205,217.2653
29.986,0.05,210,217.6633
29.973,0.05,215,217.6712
29.985,0.05,220,218.053
29.98,0.05,225,217.8393
29.983,0.05,230,218.1824
29.983,0.05,235,218.3549
29.977,0.05,240,218.4503
29.989,0.1,-5,216.328
29.977,0.1,-2,216.5781
29.991,0.1,0,216.5603
29.981,0.1,2,216.636
29.989,0.1,5,216.6169
29.985,0.1,10,216.8654
29.981,0.1,15,217.0191
29.976,0.1,20,217.1459
29.981,0.1,25,217.2975
29.98,0.1,30,217.4941
29.981,0.1,35,217.6797
29.985,0.1,40,217.9696
29.981,0.1,45,218.0493
29.984,0.1,50,218.1535
29.976,0.1,55,218.326
29.984,0.1,60,218.2123
29.981,0.1,65,218.2939
29.995,0.1,70,218.0909
29.973,0.1,75,218.0682
29.984,0.1,77,218.3529
29.986,0.1,79,218.2216
29.983,0.1,81,218.0768
29.985,0.1,83,218.4188
29.986,0.1,85,218.0733
29.98,0.1,86,218.3634
29.984,0.1,87,218.2833
29.986,0.1,88,218.0447
29.985,0.1,89,218.135
29.981,0.1,90,218.2648
29.98,0.1,91,218.0704
29.986,0.1,92,218.021
29.97,0.1,93,218.0997
29.99,0.1,94,218.1614
29.988,0.1,95,217.9612
29.99,0.1,97,218.0101
29.992,0.1,99,217.7289
29.993,0.1,101,217.8106
29.992,0.1,103,217.3771
29.983,0.1,105,217.5496
29.981,0.1,110,216.9534
29.984,0.1,115,216.5026
29.986,0.1,120,216.2177
29.991,0.1,125,216.0814
29.989,0.1,130,216.2155
29.985,0.1,135,215.8097
29.985,0.1,140,215.4678
29.988,0.1,145,215.2638
29.989,0.1,150,215.3031
29.977,0.1,155,215.3758
29.989,0.1,160,214.9611
29.985,0.1,165,215.0118
29.986,0.1,170,215.226
29.985,0.1,175,215.0735
29.985,0.1,178,214.9725
29.984,0.1,180,215.192
29.984,0.1,182,215.0199
29.985,0.1,185,215.1038
29.987,0.1,190,215.7891
29.982,0.1,195,215.7978
29.981,0.1,200,216.0083
29.985,0.1,205,216.1426
29.988,0.1,210,216.1655
29.984,0.1,215,216.3578
29.985,0.1,220,216.7345
29.986,0.1,225,216.8107
29.983,0.1,230,216.9685
29.979,0.1,235,217.2445
29.984,0.1,240,217.8619
29.976,0.2,-5,210.6513
29.991,0.2,-2,210.9251
29.98,0.2,0,211.2221
29.986,0.2,2,211.4771
29.984,0.2,5,211.5984
29.98,0.2,10,212.2278
29.974,0.2,15,212.7029
29.988,0.2,20,213.2342
29.98,0.2,25,213.8423
29.975,0.2,30,214.3007
29.982,0.2,35,215.166
29.98,0.2,40,215.64
29.987,0.2,45,216.2412
29.983,0.2,50,216.3642
29.983,0.2,55,216.8604
29.99,0.2,60,217.3384
29.983,0.2,65,217.3702
29.988,0.2,70,217.4539
29.97,0.2,75,217.242
29.987,0.2,77,217.6802
29.982,0.2,79,217.3926
29.979,0.2,81,217.6201
29.985,0.2,83,217.6479
29.993,0.2,85,217.1848
29.983,0.2,86,217.6617
29.981,0.2,87,217.5459
29.998,0.2,88,217.3395
29.989,0.2,89,217.2201
29.989,0.2,90,217.1696
29.984,0.2,91,217.1266
29.984,0.2,92,217.2263
29.979,0.2,93,217.0561
29.989,0.2,94,217.0312
29.986,0.2,95,216.8661
29.986,0.2,97,216.5691
29.982,0.2,99,216.3056
29.988,0.2,101,216.157
29.986,0.2,103,215.4874
29.984,0.2,105,215.8293
29.976,0.2,110,214.117
29.984,0.2,115,213.1396
29.98,0.2,120,212.6372
29.994,0.2,125,211.1998
29.98,0.2,130,210.6418
29.993,0.2,135,209.7837
29.987,0.2,140,208.8648
29.991,0.2,145,208.3545
29.981,0.2,150,207.6721
29.982,0.2,155,207.2918
29.985,0.2,160,207.1012
29.988,0.2,165,206.7116
29.992,0.2,170,206.6308
29.985,0.2,175,206.9238
29.982,0.2,178,206.9867
29.986,0.2,180,207.1831
29.981,0.2,182,207.3257
29.985,0.2,185,207.6426
29.977,0.2,190,208.02
29.982,0.2,195,208.7962
29.975,0.2,200,209.4495
29.982,0.2,205,210.1147
29.976,0.2,210,211.1622
29.988,0.2,215,211.8643
29.986,0.2,220,212.5341
29.988,0.2,225,213.5271
29.98,0.2,230,214.4195
29.991,0.2,235,215.1775
29.98,0.2,240,215.6251
30.002,0.3,-5,200.7871
30,0.3,-2,201.2665
29.994,0.3,0,201.5444
29.997,0.3,2,201.3157
