Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
19.977,0,-5,275.8974
19.987,0,-2,275.9402
19.981,0,0,276.0678
19.981,0,2,276.5573
19.994,0,5,276.1877
19.991,0,10,276.2755
19.995,0,15,276.1352
19.977,0,20,276.2143
19.993,0,25,276.5525
19.989,0,30,276.647
19.987,0,35,276.3707
19.997,0,40,276.4272
19.986,0,45,276.6249
19.988,0,50,276.6585
19.982,0,55,276.4957
19.991,0,60,276.6303
19.985,0,65,276.4231
19.984,0,70,276.9014
19.99,0,75,276.7417
19.985,0,77,276.6098
19.986,0,79,276.7116
19.989,0,81,276.5857
19.987,0,83,276.612
19.988,0,85,276.5938
19.993,0,86,276.7728
19.982,0,87,276.6917
19.982,0,88,276.9076
19.984,0,89,276.5913
19.986,0,90,276.6826
19.989,0,91,276.8456
19.987,0,92,276.8536
19.994,0,93,276.6624
19.993,0,94,276.8102
19.989,0,95,276.7801
19.993,0,97,276.7186
19.995,0,99,276.7518
19.979,0,101,276.9322
19.983,0,103,276.9232
19.993,0,105,276.9399
19.988,0,110,277.0163
19.989,0,115,276.773
19.995,0,120,276.9736
19.986,0,125,276.8065
19.991,0,130,276.8577
19.987,0,135,276.7477
19.987,0,140,276.9224
19.989,0,145,276.8835
19.987,0,150,276.9138
19.989,0,155,277.0041
19.986,0,160,276.7937
19.991,0,165,276.7189
19.988,0,170,277.0137
19.989,0,175,276.865
19.984,0,178,276.7493
19.99,0,180,276.9436
19.983,0,182,276.8948
19.983,0,185,276.5799
19.997,0,190,276.8733
19.993,0,195,276.9384
19.994,0,200,276.9062
19.993,0,205,276.9582
19.986,0,210,276.8574
19.994,0,215,276.8601
19.995,0,220,276.8807
19.988,0,225,276.9601
19.985,0,230,276.7869
19.997,0,235,276.8469
19.993,0,240,277.0514
19.986,0.1,-5,274.5807
19.982,0.1,-2,274.511
19.989,0.1,0,274.8144
19.998,0.1,2,274.7775
19.98,0.1,5,274.8663
19.985,0.1,10,274.9958
19.987,0.1,15,275.3105
19.993,0.1,20,275.491
19.986,0.1,25,275.593
19.993,0.1,30,275.4527
19.997,0.1,35,275.8381
19.987,0.1,40,275.857
19.992,0.1,45,275.6136
19.987,0.1,50,275.7766
19.979,0.1,55,276.069
19.985,0.1,60,275.953
19.996,0.1,65,275.7199
19.997,0.1,70,275.4708
19.986,0.1,75,275.3742
19.994,0.1,77,275.7603
19.997,0.1,79,275.6729
19.984,0.1,81,275.6824
19.984,0.1,83,275.3367
19.982,0.1,85,275.4594
19.985,0.1,86,275.6524
19.992,0.1,87,275.5871
19.988,0.1,88,275.6273
19.995,0.1,89,275.8018
19.993,0.1,90,275.8442
19.987,0.1,91,275.6938
19.985,0.1,92,275.5177
19.994,0.1,93,275.7769
19.995,0.1,94,275.6785
19.992,0.1,95,275.3098
19.994,0.1,97,275.3439
19.989,0.1,99,274.8769
