Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
77.498,0.015,195,27.0068
77.499,0.015,200,26.97
77.492,0.015,205,27.018
77.491,0.015,210,26.9737
77.49,0.015,215,27.032
77.495,0.015,220,27.0337
77.494,0.015,225,26.9917
77.489,0.015,230,27.0235
77.499,0.015,235,27.0192
77.501,0.015,240,27.0376
77.495,0.02,-5,26.9895
77.499,0.02,-2,26.9773
77.496,0.02,0,27.0235
77.488,0.02,2,27.0184
77.491,0.02,5,27.0237
77.5,0.02,10,26.9692
77.495,0.02,15,27.0028
77.492,0.02,20,27.0416
77.494,0.02,25,26.9847
77.491,0.02,30,26.9919
77.496,0.02,35,27.0089
77.492,0.02,40,27.02
77.49,0.02,45,26.9772
77.494,0.02,50,26.9568
77.494,0.02,55,26.9383
77.497,0.02,60,26.9042
77.493,0.02,65,26.8966
77.494,0.02,70,26.9044
77.49,0.02,75,26.8819
77.491,0.02,77,26.8878
77.494,0.02,79,26.8779
77.492,0.02,81,26.8419
77.491,0.02,83,26.9149
77.492,0.02,85,26.9019
77.494,0.02,86,26.8975
77.496,0.02,87,26.8823
77.497,0.02,88,26.8976
77.496,0.02,89,26.8611
77.489,0.02,90,26.902
77.496,0.02,91,26.8951
77.489,0.02,92,26.897
77.496,0.02,93,26.8846
77.486,0.02,94,26.898
77.497,0.02,95,26.8568
77.496,0.02,97,26.9101
77.498,0.02,99,26.8739
77.495,0.02,101,26.888
77.496,0.02,103,26.87
77.494,0.02,105,26.843
77.497,0.02,110,26.8513
77.495,0.02,115,26.7846
77.49,0.02,120,26.7873
77.49,0.02,125,26.8155
77.49,0.02,130,26.8327
77.488,0.02,135,26.7952
77.49,0.02,140,26.7783
77.492,0.02,145,26.8196
77.493,0.02,150,26.7845
77.493,0.02,155,26.8051
77.492,0.02,160,26.7918
77.491,0.02,165,26.8405
77.491,0.02,170,26.785
77.489,0.02,175,26.8108
77.494,0.02,178,26.7954
77.492,0.02,180,26.8674
77.499,0.02,182,26.8788
77.492,0.02,185,26.8271
77.488,0.02,190,26.8822
77.494,0.02,195,26.8674
77.497,0.02,200,26.9011
77.495,0.02,205,26.8678
77.495,0.02,210,26.8603
77.497,0.02,215,26.9055
77.491,0.02,220,26.874
77.493,0.02,225,26.8907
77.497,0.02,230,26.8902
77.494,0.02,235,26.8966
77.5,0.02,240,26.8729
77.493,0.03,-5,26.7346
77.494,0.03,-2,26.7514
77.497,0.03,0,26.7609
77.496,0.03,2,26.7671
77.497,0.03,5,26.7756
77.496,0.03,10,26.731
77.495,0.03,15,26.7655
77.492,0.03,20,26.7108
77.496,0.03,25,26.7689
77.493,0.03,30,26.6876
77.49,0.03,35,26.7326
77.493,0.03,40,26.6837
77.492,0.03,45,26.7531
