Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
64.99,0,-5,68.3595
64.989,0,-2,68.5147
64.993,0,0,68.5215
64.991,0,2,68.3335
64.993,0,5,68.4799
64.995,0,10,68.4013
64.992,0,15,68.4045
64.994,0,20,68.4346
64.994,0,25,68.2887
64.997,0,30,68.3684
64.993,0,35,68.3474
64.998,0,40,68.3746
65,0,45,68.4177
64.994,0,50,68.3474
64.986,0,55,68.3704
64.995,0,60,68.5437
64.989,0,65,68.4281
64.992,0,70,68.4105
64.993,0,75,68.43
64.993,0,77,68.3778
64.994,0,79,68.3288
64.994,0,81,68.5752
64.993,0,83,68.3768
64.995,0,85,68.4363
64.997,0,86,68.5009
64.99,0,87,68.4609
64.99,0,88,68.4088
64.99,0,89,68.4312
64.995,0,90,68.5608
64.989,0,91,68.343
64.999,0,92,68.4382
64.994,0,93,68.3714
64.996,0,94,68.417
64.99,0,95,68.4958
64.994,0,97,68.5026
64.993,0,99,68.5933
64.999,0,101,68.508
64.991,0,103,68.3687
64.997,0,105,68.4662
64.989,0,110,68.4517
64.988,0,115,68.5339
64.983,0,120,68.5354
64.984,0,125,68.6367
64.988,0,130,68.4622
64.996,0,135,68.5204
65.004,0,140,68.5943
65,0,145,68.505
64.996,0,150,68.5681
65.01,0,155,68.4706
64.989,0,160,68.4816
64.997,0,165,68.4274
65.009,0,170,68.3259
65.002,0,175,68.341
64.99,0,178,68.3519
64.985,0,180,68.4214
64.975,0,182,68.4315
64.995,0,185,68.3966
64.986,0,190,68.5303
64.986,0,195,68.4151
64.983,0,200,68.4772
64.993,0,205,68.3865
64.997,0,210,68.4045
64.994,0,215,68.4692
64.987,0,220,68.4454
64.99,0,225,68.4023
64.987,0,230,68.4301
64.991,0,235,68.3975
64.986,0,240,68.3905
64.977,0.05,-5,67.5594
64.973,0.05,-2,67.5595
64.99,0.05,0,67.6783
64.994,0.05,2,67.6764
64.994,0.05,5,67.6363
64.991,0.05,10,67.665
64.993,0.05,15,67.7437
64.994,0.05,20,67.7643
64.994,0.05,25,67.848
64.994,0.05,30,67.8584
64.996,0.05,35,67.7632
64.993,0.05,40,67.7946
64.995,0.05,45,67.7284
64.995,0.05,50,67.7256
64.998,0.05,55,67.7196
64.992,0.05,60,67.6187
64.996,0.05,65,67.5897
64.995,0.05,70,67.5542
64.997,0.05,75,67.5401
64.99,0.05,77,67.6325
64.987,0.05,79,67.5382
64.992,0.05,81,67.4841
64.994,0.05,83,67.4704
64.994,0.05,85,67.448
64.994,0.05,86,67.4407
64.992,0.05,87,67.3826
64.991,0.05,88,67.401
64.988,0.05,89,67.4794
64.996,0.05,90,67.4787
64.995,0.05,91,67.4731
64.99,0.05,92,67.4936
64.996,0.05,93,67.3797
64.995,0.05,94,67.4548
64.992,0.05,95,67.4816
64.987,0.05,97,67.3657
64.99,0.05,99,67.3684
64.993,0.05,101,67.3391
64.988,0.05,103,67.3578
64.988,0.05,105,67.2422
64.99,0.05,110,67.1933
64.99,0.05,115,67.0012
64.989,0.05,120,67.1568
64.997,0.05,125,67.1268
64.991,0.05,130,67.0563
64.987,0.05,135,67.0414
64.986,0.05,140,67.0892
64.98,0.05,145,66.9419
65.004,0.05,150,67.0279
64.993,0.05,155,66.899
65.005,0.05,160,67.0316
64.998,0.05,165,66.7075
64.983,0.05,170,67.0496
64.993,0.05,175,66.9463
64.983,0.05,178,67.1249
64.978,0.05,180,67.1278
64.999,0.05,182,66.9305
65,0.05,185,67.0415
64.99,0.05,190,67.1343
64.995,0.05,195,67.11
64.995,0.05,200,67.2475
64.995,0.05,205,67.2162
64.99,0.05,210,67.2209
64.993,0.05,215,67.2667
64.991,0.05,220,67.265
65.002,0.05,225,67.1494
64.989,0.05,230,67.3861
64.994,0.05,235,67.0338
64.99,0.05,240,67.1429
64.993,0.1,-5,65.4889
64.994,0.1,-2,65.6243
64.991,0.1,0,65.6463
64.994,0.1,2,65.7486
64.996,0.1,5,65.6962
64.995,0.1,10,65.8658
64.991,0.1,15,65.958
64.994,0.1,20,65.8492
64.995,0.1,25,65.9202
64.99,0.1,30,65.9524
64.992,0.1,35,65.9124
64.989,0.1,40,65.4756
64.998,0.1,45,65.7896
64.996,0.1,50,65.7198
64.995,0.1,55,65.5795
64.995,0.1,60,65.3882
64.985,0.1,65,65.0512
64.992,0.1,70,65.1874
64.993,0.1,75,65.0834
64.987,0.1,77,65.036
64.988,0.1,79,64.8966
64.992,0.1,81,64.9966
64.993,0.1,83,64.6999
64.99,0.1,85,64.9569
64.995,0.1,86,64.9078
64.991,0.1,87,64.8939
64.994,0.1,88,64.944
64.99,0.1,89,64.9928
64.99,0.1,90,64.885
64.996,0.1,91,64.863
64.994,0.1,92,64.8613
64.993,0.1,93,64.8465
64.991,0.1,94,64.889
64.992,0.1,95,64.8592
64.988,0.1,97,64.7114
64.992,0.1,99,64.5533
64.987,0.1,101,64.6532
64.986,0.1,103,64.6406
64.991,0.1,105,64.6444
64.986,0.1,110,64.563
64.986,0.1,115,64.374
64.991,0.1,120,64.3118
64.984,0.1,125,64.2037
64.983,0.1,130,64.1211
65.008,0.1,135,63.9886
64.988,0.1,140,64.0359
65.003,0.1,145,64.1745
64.995,0.1,150,64.158
65.012,0.1,155,64.0986
64.985,0.1,160,63.9331
65.004,0.1,165,63.8379
65.015,0.1,170,64.0998
65.017,0.1,175,64.2039
65.002,0.1,178,63.8565
64.991,0.1,180,64.301
64.986,0.1,182,64.3027
64.99,0.1,185,64.4448
64.988,0.1,190,64.437
64.991,0.1,195,64.5655
64.987,0.1,200,64.6444
64.983,0.1,205,64.5431
64.973,0.1,210,64.5141
64.987,0.1,215,64.6078
64.995,0.1,220,64.4565
64.978,0.1,225,64.4187
64.995,0.1,230,64.5286
64.992,0.1,235,64.3307
64.99,0.1,240,64.3615
64.984,0.2,-5,58.3071
64.975,0.2,-2,58.6566
64.978,0.2,0,58.6289
64.971,0.2,2,58.8429
64.972,0.2,5,58.9007
64.991,0.2,10,58.9764
64.976,0.2,15,59.1877
