Temperature (K),Applied field (T),Applied field angle (°),Critical current (A)
79.992,0,-5,19.3003
79.997,0,-2,19.3111
79.999,0,0,19.3183
79.996,0,2,19.3017
79.995,0,5,19.3191
79.995,0,10,19.2821
79.994,0,15,19.3007
79.993,0,20,19.2914
79.995,0,25,19.3352
79.991,0,30,19.3267
79.991,0,35,19.3088
79.99,0,40,19.3207
79.993,0,45,19.3416
79.996,0,50,19.3072
79.995,0,55,19.2805
79.996,0,60,19.3055
79.995,0,65,19.3443
79.995,0,70,19.2724
79.993,0,75,19.3234
79.996,0,77,19.3333
79.997,0,79,19.2867
79.996,0,81,19.3294
79.993,0,83,19.3372
79.994,0,85,19.313
79.996,0,86,19.3386
80,0,87,19.3164
80.001,0,88,19.3224
80.001,0,89,19.291
79.999,0,90,19.3323
79.998,0,91,19.3067
79.999,0,92,19.3315
79.997,0,93,19.3386
79.999,0,94,19.3109
80.001,0,95,19.3088
80.001,0,97,19.3135
80.004,0,99,19.3025
80.005,0,101,19.2947
80.005,0,103,19.2677
80.005,0,105,19.2874
80.002,0,110,19.2969
80.002,0,115,19.3488
80,0,120,19.3311
80.001,0,125,19.3299
79.997,0,130,19.3068
80.002,0,135,19.2877
80.007,0,140,19.2912
80.006,0,145,19.2741
80.009,0,150,19.2876
80.002,0,155,19.3127
79.999,0,160,19.2877
79.998,0,165,19.3056
79.994,0,170,19.3243
79.991,0,175,19.3106
79.996,0,178,19.3065
79.995,0,180,19.336
79.996,0,182,19.322
79.993,0,185,19.3312
79.99,0,190,19.3196
79.992,0,195,19.3376
79.992,0,200,19.3233
79.992,0,205,19.307
79.999,0,210,19.313
79.996,0,215,19.3301
79.995,0,220,19.3261
79.99,0,225,19.3431
79.999,0,230,19.3313
79.995,0,235,19.3489
80.002,0,240,19.3298
79.991,0.01,-5,19.2342
79.996,0.01,-2,19.247
79.997,0.01,0,19.2399
79.995,0.01,2,19.2383
79.996,0.01,5,19.2403
79.998,0.01,10,19.2536
79.998,0.01,15,19.2567
79.996,0.01,20,19.2602
79.995,0.01,25,19.2689
79.992,0.01,30,19.2503
79.991,0.01,35,19.2499
79.991,0.01,40,19.2632
79.992,0.01,45,19.2254
79.995,0.01,50,19.2441
79.993,0.01,55,19.2285
79.995,0.01,60,19.2067
79.995,0.01,65,19.2174
79.995,0.01,70,19.2259
79.992,0.01,75,19.2354
79.998,0.01,77,19.211
79.997,0.01,79,19.2017
79.995,0.01,81,19.2134
79.995,0.01,83,19.2139
79.994,0.01,85,19.2045
79.996,0.01,86,19.1804
79.999,0.01,87,19.2059
80.001,0.01,88,19.2048
80.001,0.01,89,19.1885
79.999,0.01,90,19.2055
79.999,0.01,91,19.2294
79.997,0.01,92,19.2179
79.999,0.01,93,19.2349
79.997,0.01,94,19.2208
80,0.01,95,19.188
80.002,0.01,97,19.1786
80.004,0.01,99,19.208
80.004,0.01,101,19.1804
80.006,0.01,103,19.1604
80.005,0.01,105,19.1987
80.002,0.01,110,19.1784
80.001,0.01,115,19.1708
80.001,0.01,120,19.1581
80,0.01,125,19.1695
80.001,0.01,130,19.1516
80.005,0.01,135,19.1455
80.008,0.01,140,19.1132
80.01,0.01,145,19.1211
80.009,0.01,150,19.1304
80.004,0.01,155,19.1436
79.998,0.01,160,19.1635
79.993,0.01,165,19.184
79.991,0.01,170,19.1986
79.991,0.01,175,19.1818
79.989,0.01,178,19.1953
79.989,0.01,180,19.1976
79.988,0.01,182,19.1792
79.99,0.01,185,19.1931
79.99,0.01,190,19.2015
79.988,0.01,195,19.2002
79.993,0.01,200,19.1895
79.996,0.01,205,19.182
79.995,0.01,210,19.2056
79.998,0.01,215,19.2021
79.995,0.01,220,19.2242
79.996,0.01,225,19.2153
80.001,0.01,230,19.2237
80.007,0.01,235,19.2047
80.01,0.01,240,19.1961
79.995,0.02,-5,19.0774
79.996,0.02,-2,19.0904
79.999,0.02,0,19.0812
79.996,0.02,2,19.0923
79.995,0.02,5,19.0684
79.996,0.02,10,19.0923
79.997,0.02,15,19.0619
79.998,0.02,20,19.0419
79.997,0.02,25,19.0694
79.995,0.02,30,19.0732
79.991,0.02,35,19.0941
79.988,0.02,40,19.082
79.989,0.02,45,19.0511
79.992,0.02,50,19.0493
79.992,0.02,55,19.0257
